(570,0), (570,43)
(570,63), (570,84)
(571,88), (571,102)
(570,189), (570,200)
(559,277), (559,360)
(552,367), (532,367)
(526,367), (512,367)
(501,368), (415,368)
(388,370), (374,370)
(367,371), (281,371)
(270,373), (231,373)
(222,371), (153,371)
(101,371), (65,371)
(65,371), (101,371)
(153,371), (222,371)
(230,373), (270,373)
(281,371), (367,371)
(375,370), (388,370)
(415,368), (501,368)
(513,367), (526,367)
(533,367), (553,367)
(592,398), (600,406)
(612,416), (604,408)
(601,406), (591,396)
(559,360), (559,277)
(571,102), (571,88)
(570,83), (570,63)
(42,13), (42,64)
(39,80), (39,91)
(39,122), (39,134)
(42,255), (42,271)
(42,274), (42,287)
(47,343), (47,361)
(47,361), (47,343)
(42,271), (42,255)
(39,134), (39,121)
(39,92), (39,80)
(42,64), (42,13)
