(153,1726), (153,1744)
(153,1744), (257,1744)
(259,1746), (259,1809)
(259,1809), (292,1809)
(292,1823), (247,1823)
(245,1821), (245,1761)
(245,1761), (146,1761)
(140,1755), (140,1726)
(249,1819), (290,1819)
(249,1761), (249,1809)
(255,1809), (255,1761)
(148,1757), (245,1757)
(144,1728), (144,1753)
(149,1744), (149,1728)
(605,1628), (626,1628)
(617,1646), (617,1757)
(615,1759), (511,1759)
(511,1759), (511,1821)
(509,1823), (476,1823)
(476,1809), (498,1809)
(498,1809), (498,1744)
(500,1742), (603,1742)
(603,1742), (603,1630)
(478,1819), (507,1819)
(502,1759), (502,1809)
(507,1809), (507,1759)
(511,1755), (603,1755)
(607,1646), (607,1742)
(613,1755), (613,1646)
(153,1408), (153,1642)
(140,1642), (140,1408)
(144,1410), (144,1640)
(149,1640), (149,1410)
(921,851), (940,851)
(942,853), (942,873)
(940,875), (921,875)
(919,873), (919,853)
(923,855), (923,871)
(938,871), (938,855)
(855,515), (930,515)
(932,517), (932,586)
(932,586), (1365,586)
(1365,586), (1365,561)
(1367,559), (1383,559)
(1385,561), (1385,1629)
(1383,1661), (1367,1661)
(1365,1646), (807,1646)
(820,1628), (820,1459)
(826,1454), (850,1430)
(851,1430), (890,1391)
(891,1391), (909,1373)
(923,1360), (939,1376)
(941,1381), (930,1392)
(920,1386), (900,1406)
(899,1406), (874,1431)
(873,1431), (834,1470)
(834,1470), (834,1628)
(834,1628), (1032,1628)
(1032,1628), (1032,1469)
(1032,1469), (1002,1469)
(997,1462), (975,1440)
(1005,1445), (1028,1422)
(1034,1437), (1049,1452)
(1049,1452), (1049,1628)
(1049,1628), (1172,1628)
(1172,1628), (1172,1560)
(1174,1558), (1197,1558)
(1197,1572), (1181,1572)
(1181,1572), (1181,1628)
(1181,1628), (1365,1628)
(1365,1628), (1365,1526)
(1365,1526), (1297,1526)
(1297,1526), (1297,1570)
(1295,1572), (1268,1572)
(1268,1558), (1286,1558)
(1286,1558), (1286,1517)
(1288,1515), (1365,1515)
(1365,1515), (1365,1377)
(1365,1377), (1092,1377)
(1079,1368), (1068,1357)
(1087,1359), (1365,1359)
(1365,1359), (1365,1062)
(1365,1062), (992,1062)
(992,1062), (992,1183)
(992,1183), (1040,1183)
(1038,1203), (1027,1214)
(1026,1214), (1014,1226)
(1013,1226), (1002,1237)
(1001,1237), (990,1248)
(973,1252), (959,1238)
(959,1237), (945,1223)
(945,1222), (931,1208)
(931,1207), (920,1196)
(920,1196), (920,1163)
(935,1163), (935,1193)
(944,1203), (955,1214)
(955,1215), (966,1226)
(966,1227), (977,1238)
(978,1240), (991,1227)
(992,1227), (1007,1212)
(1008,1212), (1020,1200)
(1020,1200), (980,1200)
(978,1198), (978,1062)
(978,1062), (935,1062)
(935,1062), (935,1088)
(920,1088), (920,1062)
(920,1062), (903,1062)
(903,1047), (1365,1047)
(1365,1047), (1365,600)
(1365,600), (921,600)
(919,598), (919,528)
(919,528), (855,528)
(1049,1642), (1365,1642)
(1365,1632), (1181,1632)
(809,1642), (1032,1642)
(1032,1632), (834,1632)
(1176,1572), (1176,1628)
(1177,1628), (1177,1572)
(1270,1568), (1286,1568)
(1297,1522), (1365,1522)
(1290,1519), (1290,1558)
(1293,1559), (1293,1526)
(1369,1526), (1369,1628)
(1381,1628), (1381,1513)
(1036,1469), (1036,1628)
(1045,1628), (1045,1469)
(824,1465), (824,1628)
(830,1628), (830,1472)
(1007,1465), (1032,1465)
(989,1449), (1000,1460)
(1002,1447), (990,1435)
(1029,1427), (1008,1448)
(1369,1386), (1369,1509)
(1381,1509), (1381,1386)
(911,1376), (875,1412)
(874,1412), (840,1446)
